script_name,model_type,download_method,civitai_model_id,civitai_version_id,huggingface_model_id,direct_url,output_directory,helper_library,filename,param1,param2,param3,tags
Lora/NoobE_Char/Gqux_Nyaan6Outfits_v10.sh,Lora,civitai_download,1633678,1849167,,,Lora/NoobE_Char,civitai_download.sh,Gqux_Nyaan6Outfits_v10.safetensors,1633678,1849167,,standard
Lora/NoobE_Char/Gqux_comoli_v10.sh,Lora,civitai_download,1585450,1794112,,,Lora/NoobE_Char,civitai_download.sh,Gqux_comoli_v10.safetensors,1585450,1794112,,standard
Lora/NoobE_Char/Gqux_kyciliazabi_v10.sh,Lora,civitai_download,1605220,1816511,,,Lora/NoobE_Char,civitai_download.sh,Gqux_kyciliazabi_v10.safetensors,1605220,1816511,,standard
Lora/NoobE_Char/Gqux_moudounattemoiiya_v10.sh,Lora,civitai_download,1461531,1652794,,,Lora/NoobE_Char,civitai_download.sh,Gqux_moudounattemoiiya_v10.safetensors,1461531,1652794,,standard
Lora/NoobE_Char/Gqux_nyaan_v01.sh,Lora,civitai_download,1033305,1158931,,,Lora/NoobE_Char,civitai_download.sh,Gqux_nyaan_v01.safetensors,1033305,1158931,,standard
Lora/NoobE_Char/Gqux_shiiko_gelgoog_v10.sh,Lora,civitai_download,1531924,1733305,,,Lora/NoobE_Char,civitai_download.sh,Gqux_shiiko_gelgoog_v10.safetensors,1531924,1733305,,standard
Lora/NoobE_Char/Gqux_simusalbakharov_v10.sh,Lora,civitai_download,1580308,1788325,,,Lora/NoobE_Char,civitai_download.sh,Gqux_simusalbakharov_v10.safetensors,1580308,1788325,,standard
Lora/NoobE_Char/Medalist_HikaruKamisaki_v10.sh,Lora,civitai_download,1127871,1339434,,,Lora/NoobE_Char,civitai_download.sh,Medalist_HikaruKamisaki_v10.safetensors,1127871,1339434,,standard
Lora/NoobE_Char/Medalist_YuitsukaInori_v09.sh,Lora,civitai_download,1128520,1268547,,,Lora/NoobE_Char,civitai_download.sh,Medalist_YuitsukaInori_v09.safetensors,1128520,1268547,,standard
Lora/NoobE_Char/Medalist_v10.sh,Lora,civitai_download,1198597,1349662,,,Lora/NoobE_Char,civitai_download.sh,Medalist_v10.safetensors,1198597,1349662,,standard
Lora/NoobE_Nsfw/XRayGlasses_v11.sh,Lora,civitai_download,177451,1391141,,,Lora/NoobE_Nsfw,civitai_download.sh,XRayGlasses_v11.safetensors,177451,1391141,,standard
Lora/NoobE_Style/DoujinshiBooba.sh,Lora,civitai_download,142674,1385663,,,Lora/NoobE_Style,civitai_download.sh,DoujinshiBooba.safetensors,142674,1385663,,standard
Lora/NoobE_Style/DungeonSquadStyle_v30.sh,Lora,civitai_download,486237,1399376,,,Lora/NoobE_Style,civitai_download.sh,DungeonSquadStyle_v30.safetensors,486237,1399376,,standard
Lora/NoobE_Style/NoobEStylesCollection.sh,Lora,civitai_download,808215,962629,,,Lora/NoobE,civitai_download.sh,NoobEStylesCollection.safetensors,808215,962629,,standard
Lora/NoobE_Style/NoobEStylesDump.sh,Lora,civitai_download,723360,1031052,,,Lora/NoobE,civitai_download.sh,NoobEStylesDump.safetensors,723360,1031052,,standard
Lora/NoobV_Style/NoobVStylesCollection.sh,Lora,civitai_download,808215,975316,,,Lora/NoobV,civitai_download.sh,NoobVStylesCollection.safetensors,808215,975316,,standard
Lora/NoobV_Style/NoobVStylesDump.sh,Lora,civitai_download,723360,1047814,,,Lora/NoobV,civitai_download.sh,NoobVStylesDump.safetensors,723360,1047814,,standard
Lora/Noob_Boost/NoobV065sHyperDmd.sh,Lora,huggingface_download,,,Zuntan/NoobHyperDmd,,Lora/Noob_Boost,huggingface_download.sh,NoobV065sHyperDmd.safetensors,Zuntan/NoobHyperDmd,,,minimum;standard
Lora/Noob_Bundle/Emanon.sh,Lora,huggingface_hub_download,,,Emanon14/LoRA,,Lora/Noob_Emanon,huggingface_hub_download.sh,Emanon14/LoRA,model,*,,
Lora/Noob_Bundle/MokyuLeco.sh,Lora,huggingface_hub_download,,,mokyu2106/iroiro_data,,Lora/MokyuLeco,huggingface_hub_download.sh,mokyu2106/iroiro_data,dataset,LECO/illustriosXL_01/**,,
Lora/Noob_Bundle/Nashikone.sh,Lora,huggingface_hub_download,,,nashikone/iroiroLoRA,,Lora/Nashikone,huggingface_hub_download.sh,nashikone/iroiroLoRA,model,Illustrious-XL-v0.1/**,,
Lora/Noob_Bundle/songMixLeco.sh,Lora,huggingface_hub_download,,,yyy1026/songMix,,Lora/songMixLeco,huggingface_hub_download.sh,yyy1026/songMix,model,*_LECO/**,,
Lora/Sdxl_Boost/Hyper_sdxl_8step.sh,Lora,huggingface_download,,,ByteDance/Hyper-SD,,Lora/Sdxl_Boost,huggingface_download.sh,Hyper_sdxl_8step.safetensors,ByteDance/Hyper-SD,Hyper-SDXL-8steps-lora.safetensors,,minimum;standard
Lora/Sdxl_Boost/dmd2_sdxl_4step.sh,Lora,huggingface_download,,,tianweiy/DMD2,,Lora/Sdxl_Boost,huggingface_download.sh,dmd2_sdxl_4step.safetensors,tianweiy/DMD2,dmd2_sdxl_4step_lora_fp16.safetensors,,minimum;standard
Stable-diffusion/Illu/OneObsession_v14.sh,Stable-diffusion,civitai_download,1318945,1897112,,,Stable-diffusion/Illu,civitai_download.sh,OneObsession_v14.safetensors,1318945,1897112,,
Stable-diffusion/Illu/Quillworks_v15.sh,Stable-diffusion,huggingface_download,,,Shakker-Labs/Illustrious-Quillworks-V15,,Stable-diffusion/Illu,huggingface_download.sh,Quillworks_v15.safetensors,Shakker-Labs/Illustrious-Quillworks-V15,QuillworksIllustrious_QuillworksV15.safetensors,,
Stable-diffusion/Illu/SmoothMixIlluNoob_v30.sh,Stable-diffusion,civitai_download,1695253,1918601,,,Stable-diffusion/Illu,civitai_download.sh,SmoothMixIlluNoob_v30.safetensors,1695253,1918601,,
Stable-diffusion/Illu/TanemoMix_v40.sh,Stable-diffusion,civitai_download,1297977,1754256,,,Stable-diffusion/Illu,civitai_download.sh,TanemoMix_v40.safetensors,1297977,1754256,,
Stable-diffusion/Illu/WaiNsfw_v15.sh,Stable-diffusion,civitai_download,827184,2167369,,,Stable-diffusion/Illu,civitai_download.sh,WaiNsfw_v15.safetensors,827184,2167369,,
Stable-diffusion/Illu/botan_v30.sh,Stable-diffusion,huggingface_download,,,KKTT8823/botan_illustrious,,Stable-diffusion/Illu,huggingface_download.sh,botan_v30.safetensors,KKTT8823/botan_illustrious,botan_illustrious2_V3_0.safetensors,,
Stable-diffusion/Illu/copycatIllu_v70.sh,Stable-diffusion,huggingface_download,,,calculater/copycat-illustrious,,Stable-diffusion/Illu,huggingface_download.sh,copycatIllu_v70.safetensors,calculater/copycat-illustrious,copycat-illustrious_v7.0.safetensors,,
Stable-diffusion/Illu/dupliCatFlat_v10.sh,Stable-diffusion,huggingface_download,,,calculater/dupli-cat_flat,,Stable-diffusion/Illu,huggingface_download.sh,dupliCatFlat_v10.safetensors,calculater/dupli-cat_flat,dupli-cat_flat_illustrious_v1.0.safetensors,,
Stable-diffusion/Illu/illustrious_v20.sh,Stable-diffusion,huggingface_download,,,OnomaAIResearch/Illustrious-XL-v2.0,,Stable-diffusion/Illu,huggingface_download.sh,illustrious_v20.safetensors,OnomaAIResearch/Illustrious-XL-v2.0,Illustrious-XL-v2.0.safetensors,,
Stable-diffusion/Illu/songMix_v34.sh,Stable-diffusion,huggingface_download,,,yyy1026/songMix,,Stable-diffusion/Illu,huggingface_download.sh,songMix_v34.safetensors,yyy1026/songMix,songMix_v3.x/songMix_v3.4.safetensors,,
Stable-diffusion/NoobE/AniKawa.sh,Stable-diffusion,civitai_download,1282887,1447392,,,Stable-diffusion/NoobE,civitai_download.sh,AniKawa.safetensors,1282887,1447392,,standard
Stable-diffusion/NoobE/CatTower_v12.sh,Stable-diffusion,civitai_download,920709,1431383,,,Stable-diffusion/NoobE,civitai_download.sh,CatTower_v12.safetensors,920709,1431383,,standard
Stable-diffusion/NoobE/CottonIllustrious_v20.sh,Stable-diffusion,civitai_download,1432671,1723424,,,Stable-diffusion/NoobE,civitai_download.sh,CottonIllustrious_v20.safetensors,1432671,1723424,,standard
Stable-diffusion/NoobE/CottonNoob_v30.sh,Stable-diffusion,civitai_download,1259226,1640470,,,Stable-diffusion/NoobE,civitai_download.sh,CottonNoob_v30.safetensors,1259226,1640470,,standard
Stable-diffusion/NoobE/CuteNoobAI_v10.sh,Stable-diffusion,civitai_download,946076,1059243,,,Stable-diffusion/NoobE,civitai_download.sh,CuteNoobAI_v10.safetensors,946076,1059243,,standard
Stable-diffusion/NoobE/HarmoniqMixSpoE_v11.sh,Stable-diffusion,huggingface_download,,,hybskgks28275/HarmoniqMix_ePred_v1.x,,Stable-diffusion/NoobE,huggingface_download.sh,HarmoniqMixSpoE_v11.safetensors,hybskgks28275/HarmoniqMix_ePred_v1.x,HarmoniqMix_ePred_v11_SPO/HarmoniqMix_ePred_v11_SPO.safetensors,,minimum;standard
